model_type,id,score
LogisticRegressionRFE,LG-138-2,0.5
LogisticRegressionRFE,LG-139-2,0.5
LogisticRegressionRFE,LG-140-2,0.5
LogisticRegressionRFE,LG-141-2,0.5277777777777778
LogisticRegressionRFE,LG-142-2,0.5
LogisticRegressionRFE,LG-143-2,0.5
LogisticRegressionRFE,LG-144-2,0.5694444444444444
LogisticRegressionRFE,LG-145-2,0.5694444444444444
LogisticRegressionRFE,LG-146-2,0.5694444444444444
LogisticRegressionRFE,LG-147-2,0.5694444444444444
LogisticRegressionRFE,LG-148-2,0.5694444444444444
LogisticRegressionRFE,LG-149-2,0.5694444444444444
LogisticRegressionRFE,LG-150-2,0.5694444444444444
LogisticRegressionRFE,LG-151-2,0.5694444444444444
LogisticRegressionRFE,LG-152-2,0.5972222222222222
LogisticRegressionRFE,LG-153-2,0.5972222222222222
LogisticRegressionRFE,LG-154-2,0.5972222222222222
LogisticRegressionRFE,LG-155-2,0.5972222222222222
LogisticRegressionRFE,LG-156-2,0.5972222222222222
LogisticRegressionRFE,LG-157-2,0.5972222222222222
LogisticRegressionRFE,LG-158-2,0.5972222222222222
LogisticRegressionRFE,LG-159-2,0.5972222222222222
LogisticRegressionRFE,LG-160-2,0.5972222222222222
LogisticRegressionRFE,LG-161-2,0.5972222222222222
LogisticRegressionRFE,LG-162-2,0.5972222222222222
LogisticRegressionRFE,LG-163-2,0.5972222222222222
LogisticRegressionRFE,LG-164-2,0.5972222222222222
LogisticRegressionRFE,LG-165-2,0.5972222222222222
LogisticRegressionRFE,LG-166-2,0.5972222222222222
LogisticRegressionRFE,LG-167-2,0.5972222222222222
LogisticRegressionRFE,LG-168-2,0.5972222222222222
LogisticRegressionRFE,LG-169-2,0.5972222222222222
LogisticRegressionRFE,LG-170-2,0.5972222222222222
LogisticRegressionRFE,LG-171-2,0.5972222222222222
LogisticRegressionRFE,LG-172-2,0.5694444444444444
LogisticRegressionRFE,LG-173-2,0.5694444444444444
LogisticRegressionRFE,LG-174-2,0.5972222222222222
LogisticRegressionRFE,LG-175-2,0.5972222222222222
LogisticRegressionRFE,LG-176-2,0.5972222222222222
LogisticRegressionRFE,LG-177-2,0.5972222222222222
LogisticRegressionRFE,LG-178-2,0.5972222222222222
LogisticRegressionRFE,LG-1-3,0.2222222222222222
LogisticRegressionRFE,LG-2-3,0.16666666666666666
LogisticRegressionRFE,LG-3-3,0.25
LogisticRegressionRFE,LG-4-3,0.25
LogisticRegressionRFE,LG-5-3,0.4027777777777778
LogisticRegressionRFE,LG-6-3,0.45833333333333337
