model_id,param,value
SVM-258,degree,4
SVM-258,gamma,auto
SVM-258,kernel,poly
SVM-259,C,0.02
SVM-259,class_weight,
SVM-259,degree,2
SVM-259,gamma,scale
SVM-259,kernel,poly
SVM-260,C,0.02
SVM-260,class_weight,
SVM-260,degree,2
SVM-260,gamma,auto
SVM-260,kernel,poly
SVM-261,C,0.02
SVM-261,class_weight,
SVM-261,degree,3
SVM-261,gamma,scale
SVM-261,kernel,poly
SVM-262,C,0.02
SVM-262,class_weight,
SVM-262,degree,3
SVM-262,gamma,auto
SVM-262,kernel,poly
SVM-263,C,0.02
SVM-263,class_weight,
SVM-263,degree,4
SVM-263,gamma,scale
SVM-263,kernel,poly
SVM-264,C,0.02
SVM-264,class_weight,
SVM-264,degree,4
SVM-264,gamma,auto
SVM-264,kernel,poly
SVM-265,C,0.02
SVM-265,class_weight,balanced
SVM-265,degree,2
SVM-265,gamma,scale
SVM-265,kernel,poly
SVM-266,C,0.02
SVM-266,class_weight,balanced
