model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_HV,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_HV,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_HV,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_HV,fn_CS,fn_PA,fn_PHT,fn_PPGL
LinearSVC,LSVM-50-3,0.5476754726754727,0.5945945945945946,0.584007959007959,0.5675536881419234,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5675536881419234,0.5486883116883117,0.5945945945945946,0.5796884871884871,0.5579089375079654,0.5623725588517395,0.564417809059624,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5864228823819222,0.5901353397796816,0.5918801180026396,0.4774011299435029,0.48230166747766035,19.0,3.0,5.0,10.0,7.0,8.0,5.0,6.0,5.0,6.0,45.0,63.0,51.0,51.0,56.0,2.0,3.0,12.0,8.0,5.0
LinearSVC,LSVM-51-3,0.3124310776942356,0.527027027027027,0.3951805188647294,0.40522875816993464,0.527027027027027,0.527027027027027,0.527027027027027,0.40522875816993464,0.34493698392003475,0.527027027027027,0.44162056450192044,0.37604357143008843,0.38954973915615215,0.3957149725324009,0.527027027027027,0.527027027027027,0.527027027027027,0.4857292017699911,0.504846168166743,0.5135691391315356,0.3597033374536466,0.3850530833636693,21.0,0.0,8.0,10.0,0.0,17.0,0.0,7.0,11.0,0.0,36.0,68.0,50.0,45.0,62.0,0.0,6.0,9.0,8.0,12.0
LinearSVC,LSVM-52-3,0.572270213446684,0.5945945945945946,0.585386703033762,0.5266573295985061,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5266573295985061,0.5306449055107705,0.5945945945945946,0.5803594198136289,0.5261247762702634,0.5261023000403388,0.5262645436263697,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5874816851109296,0.5908206722396522,0.5923227159320307,0.4681360804983229,0.4707271717276981,18.0,1.0,8.0,10.0,7.0,8.0,1.0,10.0,7.0,4.0,45.0,67.0,47.0,49.0,58.0,3.0,5.0,9.0,8.0,5.0
LinearSVC,LSVM-53-3,0.38547008547008543,0.43243243243243246,0.387040887040887,0.35751633986928105,0.43243243243243246,0.43243243243243246,0.43243243243243246,0.35751633986928105,0.33485514485514484,0.43243243243243246,0.37653157653157654,0.34071326840571226,0.3476470583963894,0.3513292662675624,0.43243243243243246,0.43243243243243246,0.43243243243243246,0.40094649574088287,0.4148339161720072,0.421588936161667,0.2445308701993194,0.25872822017087577,21.0,1.0,3.0,5.0,2.0,18.0,1.0,6.0,10.0,7.0,35.0,67.0,51.0,46.0,55.0,0.0,5.0,14.0,13.0,10.0
LinearSVC,LSVM-54-3,0.5194419306184013,0.5675675675675675,0.5487841914312502,0.5246965452847806,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5246965452847806,0.5168623013083762,0.5675675675675675,0.5523817064536067,0.5203646572459923,0.5223304731767431,0.5232560515020975,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5601329297028169,0.5636205490387048,0.5651896903362037,0.4391283751776409,0.4420890405721422,18.0,2.0,5.0,10.0,7.0,8.0,3.0,7.0,7.0,7.0,45.0,65.0,50.0,49.0,55.0,3.0,4.0,12.0,8.0,5.0
LinearSVC,LSVM-55-3,0.5172476646160857,0.5540540540540541,0.5674013042434094,0.4336601307189542,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.4336601307189542,0.38888888888888884,0.5540540540540541,0.48527373527373524,0.4108705003349846,0.4214785933194366,0.4262995169050351,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.5208265735836052,0.536448604149153,0.5434476343329823,0.4,0.41752748352842933,21.0,0.0,9.0,10.0,1.0,12.0,0.0,10.0,11.0,0.0,41.0,68.0,47.0,45.0,62.0,0.0,6.0,8.0,8.0,11.0
LinearSVC,LSVM-56-3,0.5433333333333334,0.5675675675675675,0.556081081081081,0.5047152194211018,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5047152194211018,0.506294524189261,0.5675675675675675,0.5536423983792405,0.5035294013554883,0.5038904035653766,0.5041780045351475,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.560998946868512,0.5641434566136625,0.5655210056995772,0.43403441682600385,0.4356628599435371,17.0,1.0,6.0,11.0,7.0,7.0,1.0,10.0,9.0,5.0,46.0,67.0,47.0,47.0,57.0,4.0,5.0,11.0,7.0,5.0
LinearSVC,LSVM-57-3,0.5564448051948052,0.581081081081081,0.5657346876096876,0.5650326797385621,0.581081081081081,0.581081081081081,0.581081081081081,0.5650326797385621,0.5449128997426783,0.581081081081081,0.5538076214347749,0.5531309292952875,0.558391489745058,0.5609527889982056,0.581081081081081,0.5810810810810811,0.581081081081081,0.5652483395690932,0.572269645786486,0.5756720216366501,0.45484790874524716,0.46546599010371603,21.0,4.0,6.0,7.0,5.0,11.0,3.0,4.0,7.0,6.0,42.0,65.0,53.0,49.0,56.0,0.0,2.0,11.0,11.0,7.0
LinearSVC,LSVM-58-3,0.4841452991452992,0.5540540540540541,0.5339656964656965,0.49295051353874886,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.49295051353874886,0.4837037037037038,0.5540540540540541,0.5399399399399399,0.4881834215167549,0.49039149605525567,0.4914027459954233,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.5474700891367558,0.5506053562067048,0.5519872904941554,0.4217381008761544,0.4236614561400194,17.0,1.0,5.0,11.0,7.0,7.0,3.0,8.0,7.0,8.0,46.0,65.0,49.0,49.0,54.0,4.0,5.0,12.0,7.0,5.0
LinearSVC,LSVM-59-3,0.5272727272727272,0.581081081081081,0.5792383292383292,0.46699346405228753,0.581081081081081,0.581081081081081,0.581081081081081,0.46699346405228753,0.4436758563074353,0.581081081081081,0.5317550633340107,0.4516575238635549,0.45839651102809,0.46171047903596263,0.581081081081081,0.5810810810810811,0.581081081081081,0.5547773397800162,0.5668322489090625,0.5724265562364805,0.43788287184513597,0.4538945299242225,21.0,0.0,9.0,10.0,3.0,12.0,0.0,9.0,10.0,0.0,41.0,68.0,48.0,46.0,62.0,0.0,6.0,8.0,8.0,9.0
