model_id,param,value
SVM-188,kernel,poly
SVM-189,C,0.2
SVM-189,degree,3
SVM-189,gamma,auto
SVM-189,kernel,poly
SVM-190,C,0.2
SVM-190,degree,4
SVM-190,gamma,scale
SVM-190,kernel,poly
SVM-191,C,0.2
SVM-191,degree,4
SVM-191,gamma,auto
SVM-191,kernel,poly
SVM-192,C,0.25
SVM-192,degree,2
SVM-192,gamma,scale
SVM-192,kernel,poly
SVM-193,C,0.25
SVM-193,degree,2
SVM-193,gamma,auto
SVM-193,kernel,poly
SVM-194,C,0.25
SVM-194,degree,3
SVM-194,gamma,scale
SVM-194,kernel,poly
SVM-195,C,0.25
SVM-195,degree,3
SVM-195,gamma,auto
SVM-195,kernel,poly
SVM-196,C,0.25
SVM-196,degree,4
SVM-196,gamma,scale
SVM-196,kernel,poly
SVM-197,C,0.25
SVM-197,degree,4
SVM-197,gamma,auto
SVM-197,kernel,poly
SVM-198,C,0.3
SVM-198,degree,2
SVM-198,gamma,scale
SVM-198,kernel,poly
SVM-199,C,0.3
SVM-199,degree,2
SVM-199,gamma,auto
SVM-199,kernel,poly
SVM-200,C,0.3
SVM-200,degree,3
SVM-200,gamma,scale
SVM-200,kernel,poly
SVM-201,C,0.3
SVM-201,degree,3
SVM-201,gamma,auto
SVM-201,kernel,poly
SVM-202,C,0.3
SVM-202,degree,4
SVM-202,gamma,scale
SVM-202,kernel,poly
SVM-203,C,0.3
SVM-203,degree,4
SVM-203,gamma,auto
SVM-203,kernel,poly
SVM-204,C,0.5
SVM-204,degree,2
SVM-204,gamma,scale
SVM-204,kernel,poly
SVM-205,C,0.5
SVM-205,degree,2
SVM-205,gamma,auto
SVM-205,kernel,poly
SVM-206,C,0.5
SVM-206,degree,3
SVM-206,gamma,scale
SVM-206,kernel,poly
SVM-207,C,0.5
SVM-207,degree,3
SVM-207,gamma,auto
SVM-207,kernel,poly
SVM-208,C,0.5
SVM-208,degree,4
SVM-208,gamma,scale
SVM-208,kernel,poly
SVM-209,C,0.5
SVM-209,degree,4
SVM-209,gamma,auto
SVM-209,kernel,poly
SVM-210,C,1
SVM-210,degree,2
SVM-210,gamma,scale
SVM-210,kernel,poly
SVM-211,C,1
SVM-211,degree,2
